유종,유류세정책명,유류세인하율_pct,시작일,종료일,일수,평균정책효과_원L,최소정책효과_원L,최대정책효과_원L,평균감면액_exVAT_원L,평균감면액_VAT포함참고_원L
휘발유,수송용 유류세 10% 한시 인하,10.0,2008-04-15,2008-12-31,261,,,,74.589,82.0479
휘발유,수송용 유류세 15% 한시 인하,15.0,2018-11-06,2019-05-06,182,123.07185000000005,123.07185000000004,123.07185000000004,111.8835,123.07185000000001
휘발유,수송용 유류세 20% 한시 인하,20.0,2021-11-12,2022-04-30,170,164.09580000000005,164.09580000000005,164.09580000000005,149.178,164.0958
휘발유,수송용 유류세 30% 한시 인하 확대,30.0,2022-05-01,2022-06-30,61,246.14370000000008,246.14370000000008,246.14370000000008,223.767,246.14370000000002
휘발유,수송용 유류세 37% 한시 인하 확대,37.0,2022-07-01,2022-12-31,184,303.57722999999993,303.5772299999999,303.5772300000001,275.97929999999997,303.57723
휘발유,수송용 유류세 7% 인하(단계적 환원),7.0,2019-05-07,2019-08-31,117,57.43353000000002,57.43353000000002,57.43353000000002,52.212300000000006,57.43353000000001
휘발유,"수송용 유류세 인하 유지(휘발유 25%, 경유 37%)",25.0,2023-01-01,2024-06-30,547,205.11975000000007,205.11975000000007,205.11975000000007,186.4725,205.11975
휘발유,"수송용 유류세 인하 일부 환원(휘발유 10%, 경유 15%)",10.0,2025-05-01,2025-10-31,184,82.04790000000003,82.04790000000003,82.04790000000003,74.589,82.0479
휘발유,"수송용 유류세 인하 일부 환원(휘발유 15%, 경유 23%)",15.0,2024-11-01,2025-04-30,181,123.07185000000004,123.07185000000004,123.07185000000004,111.8835,123.07185000000001
휘발유,"수송용 유류세 인하 일부 환원(휘발유 20%, 경유 30%)",20.0,2024-07-01,2024-10-31,123,164.09580000000005,164.09580000000005,164.09580000000005,149.178,164.0958
휘발유,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",7.0,2025-11-01,2026-03-26,146,57.43353,57.43352999999979,57.43353000000002,52.212300000000006,57.43353000000001
휘발유,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%)",15.0,2026-03-27,2026-05-31,66,123.07184999999981,123.07184999999981,123.07184999999981,111.8835,123.07185000000001
