유종,정책시작일,정책명,인하율_pct,정책효과_원L,정책감면액_exVAT_원L,정책감면액_VAT포함참고_원L,미정책가격,정책적용가격
휘발유,2018-11-06,수송용 유류세 15% 한시 인하,15.0,123.07185000000004,111.8835,123.07185000000001,1647.3694151357506,1524.2975651357506
휘발유,2019-05-07,수송용 유류세 7% 인하(단계적 환원),7.0,57.43353000000002,52.212300000000006,57.43353000000001,1611.8816491814569,1554.4481191814568
휘발유,2021-11-12,수송용 유류세 20% 한시 인하,20.0,164.09580000000005,149.178,164.0958,1761.4877477785278,1597.3919477785278
휘발유,2022-05-01,수송용 유류세 30% 한시 인하 확대,30.0,246.14370000000008,223.767,246.14370000000002,2115.0363623484595,1868.8926623484595
휘발유,2022-07-01,수송용 유류세 37% 한시 인하 확대,37.0,303.5772299999999,275.97929999999997,303.57723,2391.0028576017357,2087.425627601736
휘발유,2023-01-01,"수송용 유류세 인하 유지(휘발유 25%, 경유 37%)",25.0,205.11975000000007,186.4725,205.11975,1863.3625279754249,1658.2427779754248
휘발유,2024-07-01,"수송용 유류세 인하 일부 환원(휘발유 20%, 경유 30%)",20.0,164.09580000000005,149.178,164.0958,1862.251190443072,1698.1553904430718
휘발유,2024-11-01,"수송용 유류세 인하 일부 환원(휘발유 15%, 경유 23%)",15.0,123.07185000000004,111.8835,123.07185000000001,1742.1080740642035,1619.0362240642035
휘발유,2025-05-01,"수송용 유류세 인하 일부 환원(휘발유 10%, 경유 15%)",10.0,82.04790000000003,74.589,82.0479,1792.7758548632155,1710.7279548632155
휘발유,2025-11-01,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",7.0,57.43353000000002,52.212300000000006,57.43353000000001,1753.3442383918452,1695.9107083918452
휘발유,2026-03-27,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%)",15.0,123.07184999999981,111.8835,123.07185000000001,2480.628479763676,2357.556629763676
경유,2018-11-06,수송용 유류세 15% 한시 인하,15.0,87.24375000000009,79.3125,87.24375,1487.974979023124,1400.731229023124
경유,2019-05-07,수송용 유류세 7% 인하(단계적 환원),7.0,40.71375000000012,37.0125,40.713750000000005,1401.676869517609,1360.963119517609
경유,2021-11-12,수송용 유류세 20% 한시 인하,20.0,116.32500000000005,105.75,116.325,1572.179227249198,1455.854227249198
경유,2022-05-01,수송용 유류세 30% 한시 인하 확대,30.0,174.48749999999995,158.625,174.4875,2116.2578972883616,1941.7703972883617
경유,2022-07-01,수송용 유류세 37% 한시 인하 확대,37.0,215.20125000000007,195.6375,215.20125000000002,2414.7008733395005,2199.4996233395004
경유,2023-01-01,"수송용 유류세 인하 유지(휘발유 25%, 경유 37%)",37.0,215.20125000000007,195.6375,215.20125000000002,1954.151939597159,1738.950689597159
경유,2024-07-01,"수송용 유류세 인하 일부 환원(휘발유 20%, 경유 30%)",30.0,174.48749999999995,158.625,174.4875,1817.4514230561083,1642.9639230561083
경유,2024-11-01,"수송용 유류세 인하 일부 환원(휘발유 15%, 경유 23%)",23.0,133.77375000000006,121.61250000000001,133.77375000000004,1688.6605771282636,1554.8868271282636
경유,2025-05-01,"수송용 유류세 인하 일부 환원(휘발유 10%, 경유 15%)",15.0,87.24375000000009,79.3125,87.24375,1723.836907025483,1636.593157025483
경유,2025-11-01,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",10.0,58.16249999999991,52.875,58.1625,1766.7636380296954,1708.6011380296954
경유,2026-03-27,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%)",25.0,145.40625,132.1875,145.40625,2668.514915073856,2523.108665073856
